Date,Left_team,Right_team,Left_score,Right_score,Tournament,Left_overall,Right_overall,Left_attack,Right_attack,Left_midfield,Right_midfield,Left_deffense,Right_deffense,Left_bu_speed,Right_bu_speed,Left_bu_passing,Right_bu_passing,Left_bu_positioning,Right_bu_positioning,Left_cc_crossing,Right_cc_crossing,Left_cc_passing,Right_cc_passing,Left_cc_shooting,Right_cc_shooting,Left_cc_positioning,Right_cc_positioning,Left_aggression,Right_aggression,Left_pressure,Right_pressure,Left_avg_age,Right_avg_age,win
9/7/2012,Russia,Northern Ireland,2,0,FIFA World Cup qualification,79,71,77,65,78,69,76,70,60,60,58,56,Organised,Organised,63,45,70,50,48,62,Organised,Organised,42,50,41,40,27,25,1
9/7/2012,Switzerland,Slovenia,2,0,FIFA World Cup qualification,76,74,71,72,74,72,74,68,41,70,47,50,Organised,Organised,45,67,37,70,32,43,Organised,Organised,45,59,47,42,24,26,1
9/11/2012,Germany,Austria,2,1,FIFA World Cup qualification,84,74,82,75,84,71,80,72,59,37,40,53,Organised,Organised,48,37,48,38,63,49,Organised,Organised,47,37,44,34,24,25,1
9/11/2012,Belgium,Croatia,1,1,FIFA World Cup qualification,79,78,76,78,77,78,78,74,48,59,53,44,Organised,Organised,57,74,56,39,46,61,Organised,Organised,42,61,48,61,24,27,0
9/11/2012,Colombia,Chile,3,1,FIFA World Cup qualification,77,76,77,76,74,74,72,70,50,62,35,42,Organised,Organised,50,50,50,65,65,54,Organised,Organised,55,44,45,35,26,26,1
9/11/2012,Netherlands,Hungary,4,1,FIFA World Cup qualification,82,72,81,68,81,70,75,67,29,52,34,53,Organised,Organised,45,67,67,38,66,43,Organised,Organised,49,43,42,32,26,27,1
9/11/2012,Norway,Slovenia,2,1,FIFA World Cup qualification,74,74,73,72,73,72,73,68,70,70,59,50,Organised,Organised,52,67,68,70,61,43,Organised,Organised,47,59,33,42,27,26,1
9/11/2012,Argentina,Peru,1,1,FIFA World Cup qualification,82,74,86,69,79,71,77,66,32,50,39,51,Free Form,Organised,36,50,41,35,68,65,Free Form,Organised,55,45,60,55,26,26,0
9/11/2012,Uruguay,Ecuador,1,1,FIFA World Cup qualification,79,73,81,72,74,73,77,67,75,50,55,50,Organised,Organised,50,50,65,65,50,50,Free Form,Organised,55,55,45,35,27,26,0
9/19/2012,Brazil,Argentina,2,1,Friendly,83,82,83,86,81,79,83,77,61,32,37,39,Organised,Free Form,44,36,57,41,54,68,Organised,Free Form,42,55,61,60,26,26,1
10/12/2012,Argentina,Uruguay,3,0,FIFA World Cup qualification,82,79,86,81,79,74,77,77,32,75,39,55,Free Form,Organised,36,50,41,65,68,50,Free Form,Free Form,55,55,60,45,26,27,1
